행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
서울특별시,종로구,2010,174931.84770391107,17.45074673732491,14.21689653333008,1156.5560876662237,865.885408105679,1043.4733286640972,405.12985710110746,29164,144911.14159520355,서울특별시 종로구
서울특별시,중구,2010,138023.05603524167,13.538072199353788,12.260097582090959,1218.2000434208276,688.7951589353697,1080.7889535224801,387.50826350791283,19628,117326.98845997361,서울특별시 중구
서울특별시,용산구,2010,247931.24212817883,19.432405014926093,15.208431609570091,2339.795117686169,1095.3100343689302,1802.823242972259,534.7708413591195,37318,209860.38118431618,서울특별시 용산구
서울특별시,성동구,2010,310917.8236785613,31.180152319054667,20.097223347127187,2900.4329378157713,1233.5479838281033,2313.233243531183,676.228709054531,51562,258906.136459912,서울특별시 성동구
서울특별시,광진구,2010,376665.21907353087,41.98312652014767,22.09353229048519,3379.716986432834,1297.0312999419816,2677.63497581285,813.1658347399851,67422,308935.34257541253,서울특별시 광진구
서울특별시,동대문구,2010,367299.41341246426,36.08095255436661,21.080880904814574,2894.8600869176603,1737.9197941601315,2309.3333404129144,905.8857609447049,60098,306945.23187601677,서울특별시 동대문구
서울특별시,중랑구,2010,426815.6124985731,33.15391901650358,22.061327784317722,3571.116826770331,1831.5599701604144,2692.601606068759,1144.0815645274301,75870,350968.0910767856,서울특별시 중랑구
서울특별시,성북구,2010,486691.3659881369,54.65912736598757,28.902391438349063,4389.096986356047,2007.9959654178267,3198.1196513870123,984.0758439927092,84496,402483.0967233083,서울특별시 성북구
서울특별시,강북구,2010,347961.16045997647,23.419231632041477,14.268403613241523,2820.8625332802058,1637.0154180177035,2153.524252513983,882.6289556175176,58175,289346.9245042638,서울특별시 강북구
서울특별시,도봉구,2010,369517.32161998807,29.345353473214672,23.105634553885796,3172.0502578485816,1554.3269080947846,2122.7278470814335,853.7359907950373,70786,298480.99920716503,서울특별시 도봉구
서울특별시,노원구,2010,606738.612220116,70.34779283570644,41.65159929491024,5261.674908785817,2566.8454301515776,3490.930496910582,1183.7714916627976,131935,475996.60717279353,서울특별시 노원구
서울특별시,은평구,2010,486131.204504659,44.907383471555086,28.925051328217453,4084.9091142060315,2095.7909068603863,3001.1359235398677,1097.9683441737836,88442,397992.5409111588,서울특별시 은평구
서울특별시,서대문구,2010,325916.9499212032,26.283666524376322,18.145178805806157,2731.2231080739766,1400.344436278906,2008.4440979762262,664.0521940306861,55987,269582.22776447807,서울특별시 서대문구
서울특별시,마포구,2010,392144.6914648106,32.207882344736326,21.10713472671232,3822.908834177914,1478.5368212341364,3106.4151981629934,774.4685899324812,63925,327955.5929794677,서울특별시 마포구
서울특별시,양천구,2010,498309.1121333696,47.91368797859478,28.956197990292527,3685.2327885741042,1698.3329589358727,2560.9184057714897,979.828594294322,113428,385586.21080387256,서울특별시 양천구
서울특별시,강서구,2010,570997.1511210907,46.97018807295795,35.82807829484528,5683.5637663745265,2315.6008164606956,4218.304656821526,1254.2846340390481,105485,465995.05269873113,서울특별시 강서구
서울특별시,구로구,2010,423497.3966758413,32.23749601206288,23.069780582210104,4751.845917223578,1606.3860382285454,3459.0389566916538,922.5173737566432,70612,352704.59240359516,서울특별시 구로구
서울특별시,금천구,2010,248709.0982805979,17.57003931455146,18.184336886353403,2043.348532416319,1033.357756660409,1729.6549796632498,691.5850343023363,42806,205129.1850406201,서울특별시 금천구
서울특별시,영등포구,2010,407040.08743139467,42.01355741968041,23.071808599736535,4280.129028560155,1639.2521571637092,3274.07783194468,917.7426243200896,65287,341455.6845357251,서울특별시 영등포구
서울특별시,동작구,2010,402741.35878800595,31.206658877066797,20.113791538354704,3845.1651531463026,1490.538580177653,2995.060934664396,699.8448338048611,65825,336710.6108981837,서울특별시 동작구
서울특별시,관악구,2010,528780.4151564289,37.08906508568194,22.07477864279391,4718.836807376711,1979.6286228096503,4332.237977415844,1081.6445508373452,77938,450862.38503577106,서울특별시 관악구
서울특별시,서초구,2010,434694.5658111429,23.40876669018841,22.100993784986493,4395.732356272832,1281.1966867575918,3003.2629805632732,723.2897090572224,83618,351090.9587892063,서울특별시 서초구
서울특별시,강남구,2010,567022.46282727,33.1747357947821,29.920343155235138,4817.526364899857,1640.01556015097,3620.450037180993,974.515946018777,113377,454338.2831363271,서울특별시 강남구
서울특별시,송파구,2010,679977.9203497184,46.88668940380164,36.77647800033294,6693.282164583309,2193.614531252903,4779.227605732857,1227.3381279872403,133701,547361.1216854845,서울특별시 송파구
서울특별시,강동구,2010,490741.06113857555,37.095637822492,25.035562570519094,4634.760082703157,1754.359231350694,3463.0657033164616,997.2620314622299,93125,397827.3465394116,서울특별시 강동구
부산광역시,중구,2010,52642.2040928994,2.41163405983785,5.252645396992186,379.11427749864094,396.685875984021,311.0040940254561,152.53898556071732,6794,45226.47587323826,부산광역시 중구
부산광역시,서구,2010,127236.43403349243,12.15266119981801,11.09674695165242,648.012341209977,888.3661225395813,675.3262427154662,322.98303645679323,20179,106782.90254066244,부산광역시 서구
부산광역시,동구,2010,104449.88503306183,10.31957666943578,8.245273338669747,654.0138718692167,848.3271702013008,541.0027310753147,267.38046576348853,15042,88801.8244608489,부산광역시 동구
부산광역시,영도구,2010,148144.6233072044,16.13214943546002,14.074178342403906,909.8036858700949,1143.7187954666515,808.4680617585752,391.5810999809463,23487,124339.85494047904,부산광역시 영도구
부산광역시,부산진구,2010,392179.5572194872,44.54304203188158,31.714658638732317,3237.886881204171,2270.3633262909225,2365.2693112507536,789.3685665869417,66621,326095.3554546118,부산광역시 부산진구
부산광역시,동래구,2010,281918.8941007932,27.959575368304908,21.967740650252942,2008.8823762924333,1370.4101032011924,1389.5528186883212,552.0905093701787,54555,227560.59143573046,부산광역시 동래구
부산광역시,남구,2010,296753.7238022351,22.028819399853425,19.952341126632422,2420.157992519731,1582.2863741522328,1584.4341960461763,608.0835537375254,53215,243828.8300322856,부산광역시 남구
부산광역시,북구,2010,310114.9794297881,30.90157646114812,25.89206322964748,2354.3230621678995,1443.5905793022725,1691.6116539034551,635.3333102925009,66336,244333.58045431328,부산광역시 북구
부산광역시,해운대구,2010,422596.3288376405,36.75290163112136,31.731367834524793,3335.4121514226827,1954.7563724091576,2276.0684312123212,874.8048813166572,89183,334390.3588423303,부산광역시 해운대구
부산광역시,사하구,2010,355729.66417763085,41.62365888270408,26.826953264368377,3024.8898530421193,1823.4120546894283,2250.6077248327947,787.451121578173,69512,286833.2359562461,부산광역시 사하구
부산광역시,금정구,2010,255182.27526072736,26.036922322765026,21.007308371733917,1639.0064518936954,1444.3743263631075,1195.080044811872,446.6296899573182,47905,207306.2143988894,부산광역시 금정구
